host,to,size,count,duration_s,app_throughput_KiB_s
127.0.0.1,*,1,100,0.001453,8310.95
127.0.0.1,*,64,100,0.001711,10662.73
127.0.0.1,*,512,100,0.001296,47842.7
127.0.0.1,*,1024,100,0.006465,17322.2
127.0.0.1,*,4096,100,0.004648,88643.92
127.0.0.1,*,16384,100,0.015231,105833.18
127.0.0.1,*,65536,100,0.391891,16361.68
